Query,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
smok nord not firing,22,19,694,936,3.17%,2.03%,6.77,6.73
vale shop,22,0,694,0,3.17%,0%,8.01,0
novo vapes,22,0,678,0,3.24%,0%,6.14,0
spesifikasi smok novo,22,0,620,0,3.55%,0%,8.7,0
novo colors,22,21,615,560,3.58%,3.75%,1.02,1.01
mtl vape meaning,22,27,546,583,4.03%,4.63%,2.89,3.67
novo 2 coils,22,0,427,0,5.15%,0%,5.95,0
voopoo drag nano pod kit,22,0,412,0,5.34%,0%,6.84,0
atomizer short smok,22,38,406,349,5.42%,10.89%,6.19,4.81
juul battery mah,22,34,377,438,5.84%,7.76%,2.72,3.03
smok nord coils free shipping,22,24,368,359,5.98%,6.69%,9.36,8.34
smok m2 coil,22,27,346,339,6.36%,7.96%,4.34,4.17
mod pod vape,22,0,305,0,7.21%,0%,4.46,0
smok priv v8 coils,22,30,287,319,7.67%,9.4%,3.02,3.31
smok rha 220w,22,0,261,0,8.43%,0%,6.35,0
best vape kits 2020,22,0,217,0,10.14%,0%,6.06,0
new pod systems,22,29,211,215,10.43%,13.49%,3.39,3.4
cleaning vape tank,22,21,208,206,10.58%,10.19%,1.29,1.06
new coil tastes burnt smok,22,20,205,167,10.73%,11.98%,2.05,2.02
top vapes 2020,22,0,186,0,11.83%,0%,4.08,0
vape.pens,22,0,168,0,13.1%,0%,3.08,0
why is my smok vape not charging,22,31,148,144,14.86%,21.53%,1.49,1.74
burnt coil taste,22,32,147,139,14.97%,23.02%,1.03,1.04
caliburn burnt taste,22,20,147,135,14.97%,14.81%,3.41,2.99
tiny vapes,22,18,131,119,16.79%,15.13%,1,1.81
best juice for smok novo,22,0,121,0,18.18%,0%,2.46,0
smok slim kit,22,0,115,0,19.13%,0%,2.92,0
how to reset smok vape,22,23,90,60,24.44%,38.33%,1,1.82
best fruity vape juice 2019,22,29,84,104,26.19%,27.88%,3.08,1.88
salt vape devices,22,0,75,0,29.33%,0%,1.8,0
best nicotine salt device,22,19,68,67,32.35%,28.36%,2.94,4.7
best vape devices 2020,22,0,67,0,32.84%,0%,2.03,0
best small refillable vape,22,0,67,0,32.84%,0%,2.52,0
my smok wont turn on,22,0,64,0,34.38%,0%,2.83,0
best salt nic juice malaysia,22,0,62,0,35.48%,0%,2.4,0
ohms too high smok,22,30,61,90,36.07%,33.33%,1.66,2.77
smok not working,22,34,52,53,42.31%,64.15%,2.37,1.51
best mouth to lung pod vape,22,0,50,0,44%,0%,1.32,0
best small vape device,22,0,46,0,47.83%,0%,1.85,0
best vaping pod system,22,40,45,64,48.89%,62.5%,1.78,1.58
pod best seller,22,31,44,53,50%,58.49%,1,1.13
smok rpm coil differences,22,19,36,40,61.11%,47.5%,1.08,1.3
best alternatives to juul,22,18,33,29,66.67%,62.07%,1.94,1.97
vaping.com track order,22,22,24,23,91.67%,95.65%,1,1
vaporesso gen,21,30,3396,8557,0.62%,0.35%,13.05,9.94
mods vape,21,28,1851,2047,1.13%,1.37%,9.85,10.96
stick prince vape,21,0,1300,0,1.62%,0%,7.69,0
cheap vape pens,21,0,1132,0,1.86%,0%,11.9,0
vaoe shop,21,22,909,937,2.31%,2.35%,2.87,2.77
best box mods,21,27,690,701,3.04%,3.85%,7.99,8.63
priv n19,21,24,654,565,3.21%,4.25%,5.85,5.46
mint juul pods,21,0,623,0,3.37%,0%,16.98,0
smoke novo 2,21,0,547,0,3.84%,0%,6.59,0
suorin reno review,21,0,483,0,4.35%,0%,5.37,0
how much is a novo 2,21,0,442,0,4.75%,0%,3.31,0
best mods 2019,21,49,401,797,5.24%,6.15%,6.67,7.41
shop vape,21,21,386,578,5.44%,3.63%,8.53,9.99
smok mico price,21,23,379,298,5.54%,7.72%,3.78,3.28
what is an rta,21,20,366,573,5.74%,3.49%,1.36,1.18
priv n19 kit,21,0,312,0,6.73%,0%,6.75,0
draw activated vape,21,0,235,0,8.94%,0%,5.49,0
vape pod terbaik,21,53,162,1053,12.96%,5.03%,5.92,6.62
vaping nicotine levels,21,0,152,0,13.82%,0%,1.12,0
pre filled pods,21,0,140,0,15%,0%,1.2,0
pod terbaru,21,29,138,297,15.22%,9.76%,2.62,2.87
best salt nic vapes 2019,21,18,129,196,16.28%,9.18%,2.46,1.94
vape com,21,0,107,0,19.63%,0%,1.24,0
best pod system vape 2018,21,0,82,0,25.61%,0%,6.32,0
smallest vape pod,21,26,71,84,29.58%,30.95%,1.54,2.6
good salt nic vapes,21,0,61,0,34.43%,0%,1.92,0
vape tastes burnt with new coil,21,32,57,125,36.84%,25.6%,1.28,1.45
smok nord vs,21,35,51,89,41.18%,39.33%,2.92,3.69
nord rpm pod,21,0,50,0,42%,0%,1.92,0
best vape stick 2019,21,33,49,71,42.86%,46.48%,2.22,1.06
smallest vape pod system,21,0,42,0,50%,0%,2.14,0
suorin drop vs suorin air,21,0,39,0,53.85%,0%,2.1,0
difference between nord and rpm,21,32,35,68,60%,47.06%,1.34,1.24
best refillable vape pod system,21,18,31,28,67.74%,64.29%,1,1
smallest refillable vape,21,18,31,30,67.74%,60%,1.13,1.13
smok morph ohms too high,21,26,30,52,70%,50%,1,1.15
vaping.com shipping,21,0,30,0,70%,0%,1,0
smok store,20,0,3232,0,0.62%,0%,8.44,0
best vape,20,49,2828,5301,0.71%,0.92%,11.26,12.18
smok mag grip,20,28,2347,2584,0.85%,1.08%,9.77,8.49
smok vape mod,20,38,2213,2364,0.9%,1.61%,9.53,9.54
dot aio,20,33,1677,2051,1.19%,1.61%,8.38,7.79
vape machine,20,0,1393,0,1.44%,0%,10.34,0
how much nicotine is in a vape,20,27,1372,1230,1.46%,2.2%,8.16,5.88
smok v9 max,20,29,1328,1304,1.51%,2.22%,8.97,8.54
vap shop,20,18,1116,1120,1.79%,1.61%,5.3,5.91
best sub ohm tank,20,23,1010,852,1.98%,2.7%,12.72,13.64
mod kit,20,0,751,0,2.66%,0%,6.62,0
vaping kit,20,19,675,1332,2.96%,1.43%,5.48,4.2
what wattage should i vape at,20,0,464,0,4.31%,0%,5.9,0
bvape,20,20,446,474,4.48%,4.22%,5.24,5.22
biggest vape tank,20,26,396,340,5.05%,7.65%,4.16,4.34
best sub ohm mod,20,0,346,0,5.78%,0%,7.46,0
cheap pod systems,20,34,341,349,5.87%,9.74%,4.3,3.9
wet lung vaping,20,0,301,0,6.64%,0%,6.92,0
is salt nic bad for you,20,50,290,346,6.9%,14.45%,2.64,2.4
different types of juuls,20,24,267,298,7.49%,8.05%,1.63,2.03
why is my novo not charging,20,0,209,0,9.57%,0%,2.94,0
smok morph 219 battery,20,0,197,0,10.15%,0%,3.41,0
cheap pod vapes,20,0,190,0,10.53%,0%,5.39,0
smok slm kit,20,21,171,142,11.7%,14.79%,2.92,3.55
juul battery capacity,20,0,151,0,13.25%,0%,2.38,0
priv n19 vape pen,20,0,132,0,15.15%,0%,3.69,0
vapepens,20,0,122,0,16.39%,0%,2.81,0
new coil burnt taste,20,21,119,217,16.81%,9.68%,2.21,2.49
clean vape tank,20,0,112,0,17.86%,0%,1.04,0
uwell koko vs caliburn,20,0,112,0,17.86%,0%,5.36,0
best vaporesso kit,20,35,102,475,19.61%,7.37%,2.87,2.64
smok models,20,23,95,92,21.05%,25%,2.15,1.66
uwell crown vs caliburn,20,0,90,0,22.22%,0%,3.11,0
my smok wont charge,20,0,75,0,26.67%,0%,1.64,0
novo 2 smok pods,20,0,70,0,28.57%,0%,2.99,0
juul like vape,20,0,67,0,29.85%,0%,3.58,0
best salt nic pod,20,20,56,46,35.71%,43.48%,2.2,2.5
why are juul pods so expensive,20,31,55,108,36.36%,28.7%,1,1
suorin air plus vs suorin air,20,19,52,39,38.46%,48.72%,1.75,2.08
smok veneno wont turn on,20,0,52,0,38.46%,0%,2.48,0
best small vape pod,20,0,50,0,40%,0%,2.88,0
best pod mod vape 2020,20,0,49,0,40.82%,0%,2.69,0
top 10 pod system 2019,20,0,48,0,41.67%,0%,2.29,0
smok not turning on,20,0,48,0,41.67%,0%,3.1,0
best open pod system,20,24,47,51,42.55%,47.06%,1.7,1.14
saltnic vapes,20,0,46,0,43.48%,0%,1.83,0
best pod stick,20,27,44,40,45.45%,67.5%,1.07,1
the best pod system 2020,20,0,42,0,47.62%,0%,2.05,0
smok rpm ohms too low,20,0,41,0,48.78%,0%,1.07,0
cheaper juul alternative,20,0,40,0,50%,0%,2.17,0
smok rpm not charging,20,0,36,0,55.56%,0%,1.33,0
smok priv n19 not charging,20,0,32,0,62.5%,0%,1.44,0
smok vape troubleshooting,20,18,29,25,68.97%,72%,1.79,1.24
support@vaping.com,20,38,21,47,95.24%,80.85%,1,1
novo 2 colors,19,18,2589,2627,0.73%,0.69%,8.95,8.24
best mods,19,26,1984,1668,0.96%,1.56%,8.99,8.29
www.smoktech.com,19,0,1750,0,1.09%,0%,4.55,0
what is salt nicotine,19,25,1585,1675,1.2%,1.49%,9.24,9.43
smok x8,19,0,1040,0,1.83%,0%,7.37,0
cvape,19,29,783,826,2.43%,3.51%,5.06,5.36
vape mod kit,19,0,656,0,2.9%,0%,7.54,0
top 10 vape mods,19,0,565,0,3.36%,0%,7.19,0
vapes.com,19,0,563,0,3.37%,0%,4.7,0
smok nord problems,19,0,555,0,3.42%,0%,6.64,0
tarot mini,19,0,437,0,4.35%,0%,6.62,0
smok novo 2 pods difference,19,18,426,277,4.46%,6.5%,2.96,3.13
best vape tank for flavor 2019,19,26,320,362,5.94%,7.18%,8.08,9.29
novo v2,19,0,293,0,6.48%,0%,4.96,0
vape tastes burnt new coil,19,19,274,268,6.93%,7.09%,1.23,1.64
smok stick prince wattage,19,20,268,292,7.09%,6.85%,2.12,1.95
vapes with pods,19,34,259,202,7.34%,16.83%,3.19,2.94
aspire breeze 2 pods,19,0,213,0,8.92%,0%,6.41,0
nicotine levels in vape,19,0,206,0,9.22%,0%,1.03,0
vape juices online,19,19,192,330,9.9%,5.76%,7.43,7.77
new salt nic vapes,19,0,127,0,14.96%,0%,3.98,0
sub ohm pod mod,19,0,118,0,16.1%,0%,3.24,0
what is rta vape,19,24,109,97,17.43%,24.74%,1,1.04
rpm40 not turning on,19,0,99,0,19.19%,0%,3.07,0
pod flavour terbaik,19,19,98,67,19.39%,28.36%,3.54,4.36
smok novo won't charge,19,0,89,0,21.35%,0%,1.39,0
twister 80 watt,19,0,87,0,21.84%,0%,2.67,0
stig tastes burnt,19,22,73,122,26.03%,18.03%,3.99,3.98
vape liquid strengths,19,0,71,0,26.76%,0%,1,0
pop disposable vape burnt,19,0,69,0,27.54%,0%,1.74,0
top pods,19,19,68,80,27.94%,23.75%,2.29,3.24
mejor pod 2020,19,0,68,0,27.94%,0%,4.37,0
horizontech magico coils,19,0,65,0,29.23%,0%,2.06,0
new 2020 vape mods,19,0,60,0,31.67%,0%,2.8,0
smok rpm40 not charging,19,0,59,0,32.2%,0%,3.86,0
best draw activated vape,19,29,56,70,33.93%,41.43%,2.36,2.7
smok rpm40 stopped working,19,0,54,0,35.19%,0%,2.74,0
latest pod vape,19,36,52,78,36.54%,46.15%,1.27,1.29
pod vape terbaik 2019,0,139,0,3069,0%,4.53%,0,7.7
xfeng baby,0,109,0,1381,0%,7.89%,0,3.03
pod termahal,0,69,0,956,0%,7.22%,0,6.09
best refillable pod systems,0,50,0,163,0%,30.67%,0,1.05
infinix pods,0,47,0,664,0%,7.08%,0,4.92
best pod ecig,0,46,0,71,0%,64.79%,0,1.27
vaping.com tracking,0,44,0,51,0%,86.27%,0,1
pod terbaik 2019 indonesia,0,42,0,1040,0%,4.04%,0,2.7
highest nicotine vape juice,0,41,0,472,0%,8.69%,0,1
best small vapes 2019,0,39,0,56,0%,69.64%,0,1
mod pod terbaik,0,38,0,781,0%,4.87%,0,6.52
pod aio terbaik 2019,0,38,0,353,0%,10.76%,0,4.63
best pod vape 2018,0,37,0,171,0%,21.64%,0,6.01
best aio vape,0,36,0,479,0%,7.52%,0,10.05
helix vape,0,35,0,339,0%,10.32%,0,4.11
smok nord wont charge,0,35,0,132,0%,26.52%,0,1.59
difference between rda and rta,0,35,0,80,0%,43.75%,0,1.05
vape uk,0,34,0,1503,0%,2.26%,0,12.59
best box mod 2019,0,34,0,519,0%,6.55%,0,7.74
top vape mods 2019,0,34,0,254,0%,13.39%,0,6.52
smok v fin battery error,0,34,0,195,0%,17.44%,0,4.04
pod based vape,0,34,0,156,0%,21.79%,0,2.19
smok novo not hitting,0,33,0,413,0%,7.99%,0,4.25
are nicotine salts safe,0,33,0,298,0%,11.07%,0,2.75
nicotine vape juice,0,32,0,663,0%,4.83%,0,13.81
pods terbaik 2019,0,32,0,498,0%,6.43%,0,6.15
pod mod terbaik 2019,0,32,0,399,0%,8.02%,0,5.4
pod 2019,0,32,0,334,0%,9.58%,0,4.22
best naked vape juice,0,32,0,97,0%,32.99%,0,1
best pod kit 2019,0,32,0,60,0%,53.33%,0,3.17
kangertech nebox,0,31,0,484,0%,6.4%,0,9.14
digiflavor helix,0,31,0,439,0%,7.06%,0,6.17
vape systems,0,31,0,351,0%,8.83%,0,3.49
atomizer short,0,31,0,232,0%,13.36%,0,19.08
vape brands like juul,0,31,0,102,0%,30.39%,0,2.48
vape juice strengths,0,31,0,98,0%,31.63%,0,1
best smok pod system,0,31,0,64,0%,48.44%,0,2
the best pod 2019,0,31,0,63,0%,49.21%,0,1.86
vandy vape,0,30,0,7285,0%,0.41%,0,6.85
obs cube mini,0,30,0,1444,0%,2.08%,0,8.99
pod system vape 2019,0,30,0,117,0%,25.64%,0,2.85
best vape system,0,30,0,59,0%,50.85%,0,6.08
nicotine salt,0,29,0,2329,0%,1.25%,0,13.61
best mod vape 2019,0,29,0,365,0%,7.95%,0,7.65
juul look alikes,0,29,0,216,0%,13.43%,0,1
pod terbaik malaysia,0,29,0,119,0%,24.37%,0,5.37
best fruit vape juice flavors 2019,0,29,0,71,0%,40.85%,0,2.8
smok species ohms too high,0,29,0,44,0%,65.91%,0,1
smok g priv 2,0,28,0,1860,0%,1.51%,0,12.62
pod terbaik indonesia,0,28,0,436,0%,6.42%,0,4.81
how to fix a burnt pod,0,28,0,362,0%,7.73%,0,4.2
profile 1.5 rda,0,28,0,310,0%,9.03%,0,14.83
best vape mod kit 2019,0,28,0,199,0%,14.07%,0,5.28
how much is a vape pod,0,28,0,131,0%,21.37%,0,1.69
e cigarette brands like juul,0,28,0,69,0%,40.58%,0,2.01
the best pod mod 2019,0,28,0,64,0%,43.75%,0,3.33
best pod based vapes,0,28,0,61,0%,45.9%,0,2.02
best flavor pod system,0,28,0,57,0%,49.12%,0,1.32
e cig like juul,0,28,0,42,0%,66.67%,0,1.38
whats better than juul,0,28,0,35,0%,80%,0,1.11
voopoo drag nano pod,0,27,0,891,0%,3.03%,0,7.83
vape maintenance,0,27,0,75,0%,36%,0,1
are nicotine salts bad for you,0,27,0,64,0%,42.19%,0,2.02
what is the best pod vape,0,27,0,59,0%,45.76%,0,1.15
vaping.com order status,0,27,0,35,0%,77.14%,0,1
smok atomizer short,0,26,0,204,0%,12.75%,0,6.19
best pod device 2019,0,26,0,98,0%,26.53%,0,2.14
novo 2 light meaning,0,26,0,66,0%,39.39%,0,1
new salt nic devices,0,26,0,64,0%,40.62%,0,1.98
sub ohm pod system,0,26,0,62,0%,41.94%,0,1.85
smok nord taste burnt with new coil,0,26,0,54,0%,48.15%,0,1.09
vaporesso luxe,0,25,0,2318,0%,1.08%,0,12.65
aspire mulus,0,25,0,762,0%,3.28%,0,12.1
vapes prices,0,25,0,200,0%,12.5%,0,3.77
vinci mod pod coils,0,25,0,95,0%,26.32%,0,2.52
juul alternative canada,0,25,0,71,0%,35.21%,0,1.45
why does my nord taste burnt with new coil,0,25,0,57,0%,43.86%,0,1
difference between novo 1 and novo 2,0,25,0,49,0%,51.02%,0,2.73
vaping.com track my order,0,25,0,28,0%,89.29%,0,1
vaping pod,0,24,0,603,0%,3.98%,0,4.01
vape mods 2019,0,24,0,489,0%,4.91%,0,7.6
smok novo 2 charging light,0,24,0,432,0%,5.56%,0,4.52
caliburn vs juul,0,24,0,418,0%,5.74%,0,7.95
smok novi,0,24,0,286,0%,8.39%,0,4.54
nic devices,0,24,0,168,0%,14.29%,0,2.45
best refillable pod vape 2018,0,24,0,131,0%,18.32%,0,5.53
are nic salts safe,0,24,0,124,0%,19.35%,0,3.18
smok fetch specs,0,24,0,97,0%,24.74%,0,1.1
is salt nicotine safe,0,24,0,70,0%,34.29%,0,2.43
juul equivalents,0,24,0,56,0%,42.86%,0,4.41
smoking devices like juul,0,24,0,48,0%,50%,0,1.27
latest pod system,0,24,0,40,0%,60%,0,1.18
smok novo 2 vs 1,0,24,0,29,0%,82.76%,0,2.03
rda,0,23,0,2853,0%,0.81%,0,10
pod stick terbaik,0,23,0,672,0%,3.42%,0,9.64
freemax gemm disposable tank,0,23,0,533,0%,4.32%,0,9.87
vape shoo,0,23,0,527,0%,4.36%,0,3.07
resa stick smok,0,23,0,457,0%,5.03%,0,5.33
sibra f kit,0,23,0,427,0%,5.39%,0,5.74
pod vape terbaik indonesia 2019,0,23,0,393,0%,5.85%,0,5.79
smok nord vs caliburn,0,23,0,337,0%,6.82%,0,5.87
vape oen,0,23,0,249,0%,9.24%,0,3.57
is nicotine salt bad for you,0,23,0,192,0%,11.98%,0,3.04
best pod mods 2019,0,23,0,135,0%,17.04%,0,3.26
smok rpm salt nic coil,0,23,0,119,0%,19.33%,0,2.84
shikra coils,0,23,0,99,0%,23.23%,0,3.09
smok vape not turning on,0,23,0,86,0%,26.74%,0,3.92
best vaporesso mod,0,23,0,80,0%,28.75%,0,1.85
top vape pods 2019,0,23,0,71,0%,32.39%,0,3.04
vaping rda,0,23,0,65,0%,35.38%,0,1.15
priv v8 coils,0,23,0,59,0%,38.98%,0,1.25
small vaping devices,0,23,0,52,0%,44.23%,0,1.12
best naked 100 juice,0,23,0,50,0%,46%,0,1
vape pen brand,0,23,0,49,0%,46.94%,0,5.61
how to fix a smok vape,0,23,0,44,0%,52.27%,0,1.07
smok devilkin,0,22,0,1936,0%,1.14%,0,9.38
vape tank,0,22,0,1055,0%,2.09%,0,14.43
vape mods smok,0,22,0,858,0%,2.56%,0,9.84
vapejuice,0,22,0,823,0%,2.67%,0,8.24
vape liquid online,0,22,0,592,0%,3.72%,0,8.54
types of juuls,0,22,0,572,0%,3.85%,0,2.06
aspire tigon aio,0,22,0,369,0%,5.96%,0,8.67
how much nicotine in a vape,0,22,0,353,0%,6.23%,0,3.28
uwell caliburn vs smok nord,0,22,0,244,0%,9.02%,0,4.99
novo 2 quartz pod review,0,22,0,208,0%,10.58%,0,6.79
smok vape models,0,22,0,77,0%,28.57%,0,2.21
new pod 2019,0,22,0,75,0%,29.33%,0,1.39
difference between rta and rda,0,22,0,61,0%,36.07%,0,1.57
rda and rta,0,22,0,57,0%,38.6%,0,1.04
best small pod vape,0,22,0,54,0%,40.74%,0,2.46
best small vapes to buy,0,22,0,52,0%,42.31%,0,1.42
smok won't charge,0,22,0,47,0%,46.81%,0,1.06
best refillable pod,0,22,0,41,0%,53.66%,0,1
best small vape 2019,0,22,0,30,0%,73.33%,0,1
fetch pod,0,21,0,6456,0%,0.33%,0,7.43
smok tank,0,21,0,5562,0%,0.38%,0,8.76
how to clean vape coil,0,21,0,1153,0%,1.82%,0,7.81
cape pen,0,21,0,265,0%,7.92%,0,3.57
juul mah,0,21,0,218,0%,9.63%,0,2.69
gt4 coils,0,21,0,78,0%,26.92%,0,3.63
vaporesso luxe zv,0,21,0,72,0%,29.17%,0,4.35
latest vape pod,0,21,0,71,0%,29.58%,0,2.08
vapes like a juul,0,21,0,39,0%,53.85%,0,1.1
vapes that hit like a juul,0,21,0,37,0%,56.76%,0,1.57
best flavour pod system,0,21,0,28,0%,75%,0,1.54
smoke nord,0,20,0,3230,0%,0.62%,0,5.8
novo price,0,20,0,1208,0%,1.66%,0,6.08
vaporesso revenger x kit,0,20,0,425,0%,4.71%,0,12.99
vaping coils,0,20,0,281,0%,7.12%,0,3.56
how to unburn a puff,0,20,0,157,0%,12.74%,0,3.23
vape taste burnt,0,20,0,109,0%,18.35%,0,1.26
smok novo 2 pods for salt nic,0,20,0,70,0%,28.57%,0,1.13
smok rpm40 won't turn on fix,0,20,0,69,0%,28.99%,0,3.78
good small vapes,0,20,0,53,0%,37.74%,0,1.66
vape pens brands,0,20,0,48,0%,41.67%,0,6.31
innovator vape,0,20,0,47,0%,42.55%,0,1.83
egg shaped vape,0,20,0,46,0%,43.48%,0,1
coil tastes burnt,0,20,0,39,0%,51.28%,0,1
juul similar,0,20,0,35,0%,57.14%,0,1.49
reset smok vape,0,20,0,34,0%,58.82%,0,1.09
best discreet vape 2019,0,20,0,30,0%,66.67%,0,1
refillable juul pods,0,19,0,2865,0%,0.66%,0,57.69
orion q,0,19,0,2623,0%,0.72%,0,10.4
priv v8,0,19,0,1441,0%,1.32%,0,8.46
box mod kit,0,19,0,866,0%,2.19%,0,5.03
hitbit vape,0,19,0,643,0%,2.95%,0,4.12
why is my smok novo not hitting,0,19,0,441,0%,4.31%,0,5.01
horizontech falcon 2,0,19,0,412,0%,4.61%,0,8.99
smok nord not turning on,0,19,0,377,0%,5.04%,0,5.1
smok novo not firing,0,19,0,229,0%,8.3%,0,5.21
sub ohm pod,0,19,0,183,0%,10.38%,0,2.96
suorin air vs drop,0,19,0,154,0%,12.34%,0,3.9
best vape box mod 2019,0,19,0,147,0%,12.93%,0,6.31
burnt vape,0,19,0,145,0%,13.1%,0,6.52
novo 2 vs caliburn,0,19,0,126,0%,15.08%,0,6.1
pod system 2019,0,19,0,74,0%,25.68%,0,3.97
the best pod vape 2019,0,19,0,54,0%,35.19%,0,2.54
vape rda meaning,0,19,0,50,0%,38%,0,1
nord pod vs rpm pod,0,19,0,45,0%,42.22%,0,2.67
best pod aio,0,19,0,41,0%,46.34%,0,3.29
healthy juul alternative,0,19,0,40,0%,47.5%,0,1.3
the best pod system 2019,0,19,0,40,0%,47.5%,0,2.02
best pod flavour,0,19,0,36,0%,52.78%,0,1.08
best new pod vape,0,19,0,32,0%,59.38%,0,1
vape won't charge smok,0,19,0,30,0%,63.33%,0,1.37
what do i need to vape,0,19,0,29,0%,65.52%,0,1.83
novo 2 flavors,0,19,0,28,0%,67.86%,0,1
best e pen,0,19,0,25,0%,76%,0,83.44
caliburn pod,0,18,0,8923,0%,0.2%,0,5.85
mag p3 kit,0,18,0,839,0%,2.15%,0,10.15
nord kit smok,0,18,0,799,0%,2.25%,0,6.17
skrr tank,0,18,0,793,0%,2.27%,0,8.93
vaporesso target pm 80,0,18,0,649,0%,2.77%,0,8.29
smok. com,0,18,0,441,0%,4.08%,0,3.03
pods terbaik,0,18,0,388,0%,4.64%,0,6.04
novo not hitting,0,18,0,325,0%,5.54%,0,4.66
smok.novo,0,18,0,279,0%,6.45%,0,4.52
vape novo 2,0,18,0,266,0%,6.77%,0,6.05
vape shop usa,0,18,0,242,0%,7.44%,0,9.52
best new vape mods,0,18,0,213,0%,8.45%,0,7.65
best vape pens 2019,0,18,0,210,0%,8.57%,0,1.94
pod terbaik 2019 malaysia,0,18,0,176,0%,10.23%,0,7.35
sigelei shikra coil compatibility,0,18,0,158,0%,11.39%,0,1.03
why does my new coil taste burnt,0,18,0,158,0%,11.39%,0,1.09
best vape tank that doesn't leak 2019,0,18,0,139,0%,12.95%,0,5.78
smok salt nic mods,0,18,0,135,0%,13.33%,0,3.91
rba vs rda,0,18,0,134,0%,13.43%,0,1.21
vape faq,0,18,0,116,0%,15.52%,0,1.24
twister 80w vape,0,18,0,97,0%,18.56%,0,3.52
smok nic salt vape,0,18,0,89,0%,20.22%,0,4.51
vape pod brands,0,18,0,84,0%,21.43%,0,3.19
smoknovo,0,18,0,73,0%,24.66%,0,3.59
nord not charging,0,18,0,72,0%,25%,0,2.47
why isn't my nord hitting,0,18,0,59,0%,30.51%,0,1.59
juul competitor,0,18,0,52,0%,34.62%,0,3.48
pod vape brands,0,18,0,51,0%,35.29%,0,1.88
ipv coils,0,18,0,45,0%,40%,0,1.18
rda vaping,0,18,0,39,0%,46.15%,0,2.21
best pod vape for flavor,0,18,0,37,0%,48.65%,0,2.49
novo 2 1.0 vs 1.4,0,18,0,36,0%,50%,0,1.42
best stick vape 2019,0,18,0,34,0%,52.94%,0,1
best naked 100 flavors,0,18,0,34,0%,52.94%,0,1.03
newest pod system,0,18,0,34,0%,52.94%,0,1.38
juul like products,0,18,0,34,0%,52.94%,0,1.59
vape alternative to juul,0,18,0,33,0%,54.55%,0,1.09
ohms too high vape,0,18,0,31,0%,58.06%,0,1.13
best vaporesso tank,0,18,0,31,0%,58.06%,0,1.52
why is juul so expensive,0,18,0,29,0%,62.07%,0,1
best small vape devices,0,18,0,28,0%,64.29%,0,1.64
rta and rda,0,18,0,26,0%,69.23%,0,1.27
best vaping pods,0,18,0,26,0%,69.23%,0,2.04
coils,0,17,0,11369,0%,0.15%,0,11.45
snok,0,17,0,2916,0%,0.58%,0,2.85
revenger x,0,17,0,2005,0%,0.85%,0,13.55
